account_length,number_vmail_messages,total_day_charge,total_eve_charge,total_night_charge,total_intl_charge,number_customer_service_calls,churn
162,46,38.23,16,11.46,3.27,0,0
147,0,42.26,12.66,7.76,2.16,3,0
90,0,34.58,19.27,6.86,1.97,1,0
85,0,40.09,13.36,8.47,3.24,0,0
50,0,26.71,18.98,8.16,1.65,1,0
82,0,51.05,15.39,12.15,3.16,0,1
144,0,10.47,6.55,7.79,2.21,4,1
46,0,36.4,13.97,7.99,2.21,2,0
70,0,28.93,13.19,10.29,4.05,1,0
144,0,34.19,25.8,10.08,3.56,1,0
116,0,36.62,17.41,12.53,3.4,3,0
55,25,28.15,11.57,7.91,2.97,3,0
70,24,42.42,22.07,10.02,2.65,1,0
106,0,35.8,21.18,8.61,3.35,2,1
128,29,30.48,19.2,14.54,2.32,0,0
94,0,26.84,13.18,8.53,2.16,4,1
111,0,36.43,17.72,8.21,3.24,1,0
74,35,26.2,10.49,9.09,2.94,2,0
128,0,40.44,21.05,9.4,3.75,1,1
82,0,24.46,16.57,4.93,3,1,0
155,0,34.58,16.23,8.82,2.4,0,1
80,0,21.13,14.71,11.39,2.13,1,0
78,0,42.99,15.16,11.88,2.57,3,0
90,0,30.45,16.2,5.75,2.86,3,0
104,0,47.33,6.89,7.34,2.65,1,0
73,0,27.22,18.13,7.83,3.51,0,0
99,0,33.69,17.62,8.59,2.35,4,0
120,0,36.06,17.8,7.52,1.43,1,1
77,0,42.81,17.48,12.38,2.65,2,1
98,21,27.4,21.44,7.21,1.19,4,0
108,0,30.31,16.07,5.81,3.94,0,0
135,0,25.79,10.12,8.1,2.84,0,0
95,0,22.95,15.61,11.04,3.38,1,0
122,0,28.99,14.76,11.19,3.05,1,0
95,0,40.48,15.91,8.55,3.19,4,0
36,29,47.84,17.19,8.42,2.43,2,0
93,21,20.04,13.98,9.76,2.65,1,0
141,32,25.26,11.14,9.87,2.73,1,0
157,0,39.07,12.57,10.86,2.59,3,0
120,0,28.05,26.96,5.36,2.24,1,0
103,0,31.45,18.98,10.03,3.4,2,0
98,0,27.37,16.23,10.25,3.27,4,0
125,0,21.54,17.51,11.15,3.59,1,0
63,0,10.01,14.42,9.51,2.54,1,0
36,42,33.46,21.67,6.22,5.4,0,1
64,0,27.64,12.95,2.59,3.83,1,0
74,0,48.03,18.69,7.65,2.54,1,1
112,36,19.33,13.39,7.99,2.7,2,0
97,0,40.77,18.26,6.45,2.35,2,0
46,0,35.73,19.32,9,3.54,1,0
41,22,36.35,12.05,6.4,1.94,0,0
121,0,32.42,15.6,9.94,2.65,3,0
193,0,29.05,11.25,5.08,3.13,1,0
130,0,26.21,9.37,10.23,2.48,2,0
85,0,34.24,19.5,11.36,3.24,1,0
162,0,12.02,13.39,6.97,2.46,4,1
61,27,31.88,12.46,10.16,1.73,4,1
92,0,15.59,16.46,7.88,2.48,2,0
131,36,36.41,13.74,11.91,2.57,3,0
90,0,24.74,18.5,6.61,2.94,3,0
75,0,28.27,13.45,11.55,1.65,1,0
78,0,39.27,19.58,11.76,2.57,1,0
82,0,34.05,17.1,9.27,1.92,4,0
163,0,33.49,17.22,9.29,2.46,1,0
91,0,22.08,14.73,11.12,3.02,3,0
75,21,29.89,18.49,10.69,1.43,5,0
91,0,34.53,17.86,8.8,3.24,3,0
127,36,31.14,10.78,11.85,3.02,1,0
113,23,34.85,12.92,7.14,2.75,2,0
110,0,25.25,23.49,8.71,3.35,1,0
120,39,34.05,18.73,11.42,2.84,0,0
157,28,32.74,16.62,4.94,1.84,3,0
103,0,41.91,16.62,9.02,3.16,1,0
117,0,28.41,15.09,11.22,3.81,2,1
140,0,39.42,13.61,4.97,3.86,3,0
127,0,24.94,17.3,9.15,3.7,1,0
83,0,46.16,18.39,5.45,3.16,1,0
121,0,30.86,18.56,7.27,2.3,1,0
145,43,43.81,13.78,12.91,3,2,0
113,0,32.95,18.82,7.75,2.86,1,0
117,0,17.48,17.57,13.46,2.73,1,0
65,0,31.94,13.4,10.23,2.03,1,0
56,0,38.42,21.12,6.32,1.86,1,0
96,0,44.27,12.41,12.13,3.11,5,0
151,0,30.38,24.83,11.97,2.65,0,0
83,0,57.36,19.33,6.93,4.27,0,1
139,23,26.79,21,11.66,3.7,0,0
6,0,31.21,21.82,8.04,2.75,1,0
115,24,24.16,15.59,7.42,2.59,1,0
87,0,23.17,14.64,6.19,1.92,0,0
141,0,36.91,20.53,11.41,3.24,0,0
141,36,31.88,20.52,10.33,2.84,3,0
62,0,16.81,11.51,10.65,3.29,1,0
146,0,35.07,12.63,7.52,1.65,1,0
92,33,41.33,18.17,10.29,3.27,2,0
185,31,32.27,13.88,11.92,2.03,1,0
148,0,34.34,20.67,11.76,2.94,1,0
94,38,28.92,16.43,4.77,3.46,1,0
32,0,39.25,15.93,6.93,1.7,0,0
68,0,40.31,19,4.38,3.56,1,0
64,27,30.96,14.42,7.41,2.86,2,0
25,0,20.28,17.98,12.1,2.84,3,0
65,0,19.86,15.21,8.21,3.81,1,0
179,0,37.26,12.7,11.01,1.65,0,0
94,0,42.94,14.37,7.69,3,2,0
62,0,25.01,16.18,8.78,3.29,0,0
127,0,34.36,19.5,8.78,3.11,2,0
116,0,29.5,16.5,9.36,4.37,3,0
70,0,39.46,24.85,9.05,0,3,0
94,23,33.51,18.23,12.7,2.57,4,0
126,0,9.89,11.79,6.16,3.21,5,1
67,36,19.65,20.2,7.65,2.67,2,0
19,0,31.64,21.62,9.63,3.94,2,0
170,0,44.18,20.83,6.05,2.27,3,0
73,0,36.43,22.82,10.85,2.92,1,0
106,0,26.98,5.47,8.93,2.75,1,0
93,0,46.17,19.5,3.48,2.94,2,0
164,0,27.3,13.87,8.42,2.43,1,0
51,0,39.51,15.93,10.4,2.46,1,0
107,0,22.75,15.34,5.05,2.4,0,0
130,0,30.07,7.71,10.71,2.57,1,0
80,0,35.68,16.58,9.37,2.38,2,0
94,0,23.38,17.27,6.75,3.62,0,0
118,23,49.22,14.16,5.36,2.57,1,0
117,23,33.68,15.05,8.12,1.84,1,0
78,0,25.45,15.49,11.77,2.62,0,0
208,0,55.51,14.99,8.18,2.89,2,1
131,26,49.79,16.97,11.49,3.73,4,1
63,0,14.11,15.05,11.06,3.51,0,0
53,24,24.77,18.74,11.25,3.54,3,0
62,0,30.99,27.9,11.03,3.02,2,0
97,0,37.06,15.64,10.82,1.73,3,0
105,0,23.9,15.18,9.76,1.84,2,0
157,0,25.96,21.89,8.91,2.54,1,0
66,36,18.14,17.83,8.57,3.27,1,0
122,0,41.45,7.13,8.09,3.7,2,0
38,0,33.05,15.87,10.05,2.92,3,0
106,0,36.36,12.91,11.7,3.29,3,0
99,0,36.92,20.97,10.17,4.27,3,0
99,0,40.99,13.23,8.47,3.13,1,0
144,0,34.6,21.05,8.74,3.21,0,0
82,24,26.38,20.78,5.51,2.89,1,0
86,31,28.49,9.61,11.11,3.29,1,0
70,0,38.54,19.39,3.29,4.75,2,1
93,0,30.48,15.18,10.13,3.11,3,0
93,0,25.74,15.84,7.76,2.94,0,0
120,0,30.6,19.06,11.94,1.27,3,0
136,0,42.53,22.7,6.8,3.51,1,1
106,0,37.91,9.36,8.49,1.92,0,0
81,0,31.21,12.97,9.55,3.29,3,0
127,22,28.22,14.83,11.02,2.75,1,0
65,0,23.14,23.2,9.91,1.19,1,0
35,0,25.38,20.59,7.84,2.4,2,0
88,0,11.12,14.3,10.62,3.73,2,0
65,0,36.28,19.93,11.25,0.73,1,0
123,0,35.17,20.8,9.97,2.08,3,0
126,27,31.65,16.12,3.44,2.59,2,0
104,23,47.63,18.74,6.16,3.59,4,0
45,22,33.42,26.62,7.35,3.21,0,0
93,0,53.04,11,9.79,2.84,0,1
63,36,33.83,24.76,8.89,2.97,1,0
100,0,34.53,18.45,8.14,3.65,3,0
53,0,28.7,18.73,6.94,2.94,0,0
92,0,29.43,20.43,10.49,2.43,1,0
139,0,22.85,17.96,8.71,2.75,5,1
110,40,34.44,10.1,10.57,2.43,2,0
110,0,12.67,17.07,8.65,2.65,3,0
215,0,14.21,10.28,10.2,2.89,0,0
73,0,32.67,14.33,6.29,2.54,1,0
138,0,37.43,7.51,8.79,3.48,0,0
137,0,22.97,11.4,10.04,3.32,2,1
36,0,43.08,15.5,12.41,2.27,1,0
85,0,38.25,15.04,8.74,1.92,3,0
108,0,33.75,22.76,15.97,2.54,0,1
22,0,18.75,14.15,9.1,2.57,0,0
107,37,10.2,8.69,11.78,3,0,0
51,0,36.52,12.72,12.75,2.75,0,0
94,0,30.91,17.2,11.07,2.48,4,0
119,23,26.18,23.63,10.28,3.19,2,0
33,29,26.76,10.02,12.56,3.75,4,1
106,0,35.34,14.62,8.63,3.89,4,0
82,0,35.19,19.8,7.76,2.46,3,0
86,41,20.23,19.55,10.66,2.57,0,0
97,0,24.43,23.21,8.02,2.94,0,0
106,32,28.2,18.4,7.79,3.81,4,0
108,0,23.56,14.65,10.42,2.65,1,0
114,0,14.4,21.24,8.7,3.92,1,0
92,0,10.64,15.35,9.98,2.81,1,1
59,0,26.38,20,7.62,2.35,1,0
24,25,28.03,17.79,10.4,1.81,1,0
151,0,22.87,12.16,10.08,4.16,1,0
117,0,24.36,17.96,8.33,3.11,1,0
78,0,28.61,18.8,10.85,3.38,1,0
155,0,44.61,16.54,6.59,2.24,2,0
114,30,35.05,22.1,13.12,3.08,1,0
114,28,38.39,16.41,10.46,2.27,4,0
119,0,23.51,14.49,11.88,3.65,3,0
64,48,16.05,11.58,6.63,1.22,0,0
118,0,27.2,14.91,8.32,2.67,2,0
101,0,35.12,19.12,11.25,3.94,0,0
117,0,22.9,15.3,9.04,2.08,1,0
49,28,36.45,19.99,9.28,2.16,3,0
139,0,32.78,19.92,9.14,3.51,3,0
92,28,25.69,16.56,10.76,2.7,1,0
83,0,37.64,19.7,5.51,2.65,3,0
148,0,37.21,17.68,9.15,3,0,0
144,48,32.27,10.49,9.64,1.76,2,1
131,25,32.76,19.2,11.44,2.94,2,0
146,0,34.75,18.62,10.02,2.84,3,0
143,0,29.29,14.79,8.47,3.51,2,0
81,0,33.73,17.93,8.7,2.81,2,0
48,37,35.99,13.59,6.48,3.29,1,0
86,28,37.67,24.51,10.81,2.43,1,0
71,0,33.64,15.43,12.66,1.81,3,0
145,24,25.08,14.93,11.34,4.21,2,0
137,0,35.09,10.88,8.75,2.38,2,0
137,0,35,17.79,13.05,3.92,2,0
167,0,35.29,11.25,11.48,3.81,0,0
89,0,51.66,22.18,14.04,1.43,1,1
199,34,39.2,18.65,13.47,2.16,0,0
132,0,16.92,10.97,5.63,2.62,0,0
94,0,30.11,16.49,6.6,1.59,1,0
96,37,29.36,10.21,9.72,2.78,5,1
96,18,29.36,11.34,11.68,2.65,1,0
166,0,34.71,15.29,9.76,2.57,1,0
74,0,14.57,21.05,6.41,2.73,2,0
36,0,26.79,15.67,10.82,3.21,0,0
113,0,36.64,18.59,9.32,1.78,4,0
94,0,30.86,16.99,12.95,1.78,1,0
67,0,29.19,9.38,8.79,3.21,2,0
127,0,45.32,22.51,9.32,1.59,1,1
121,0,28.97,29.79,13.37,3.02,0,1
158,0,26.86,24.86,10.85,2.46,1,0
136,0,15.64,21.56,9.63,2.78,1,0
196,0,39.78,21.21,7.79,2.46,2,0
113,0,46.26,22.82,9.62,2.3,1,1
122,0,50.39,18.26,6.03,3.08,4,1
112,0,33.05,16.18,8.25,3.08,0,0
209,0,38.62,21.96,8.26,2.4,3,0
62,0,42.28,18.7,11.96,3.56,1,1
110,38,40.17,16.65,8.26,2.62,1,0
16,0,34.95,14.41,9.9,2.94,0,0
73,0,16,23.83,9.23,2.65,0,0
128,0,21.28,17.46,11.45,5.1,0,0
39,0,10.27,26.03,5.58,3.35,1,0
103,28,20.57,22.98,7.22,2.08,2,0
119,29,20.03,21.83,6.64,2.05,3,0
173,21,39.51,18.01,12.29,1.35,3,0
128,32,38,16.05,6.97,2.54,2,1
86,0,29.97,22.03,12.93,1.67,0,0
114,32,21.28,15.11,10.46,3.48,1,0
104,0,23.58,21.84,10.57,2.7,0,0
148,0,14.67,20.96,11.32,3.05,1,0
129,0,35.19,13.17,11.03,3.62,3,0
100,30,10,18.66,6.85,1.92,0,0
121,35,11.68,17.78,8.88,3.08,1,0
143,33,40.66,20.02,7.03,2.57,1,0
76,0,33.71,18.45,8.48,3.38,0,0
158,0,34.88,20.45,3.59,3.89,0,0
116,0,32.66,26.6,5.86,2.13,3,0
54,0,46.34,21.14,8.88,2.57,1,1
86,0,21.81,16.75,6.23,3.29,7,1
108,0,28.83,22.45,9.28,2.51,0,0
66,0,34.22,12.99,10.49,2.03,1,0
151,17,36.5,11.77,7.61,2.32,1,0
99,0,28.76,23.08,7.66,2.86,0,0
55,0,33,15.01,13.63,1.89,2,0
77,0,39.75,22.65,9.57,2.05,2,0
78,0,38.27,16.93,7.9,3.94,0,0
89,0,36.21,15.01,11.82,2.46,1,1
101,0,31.26,21.75,12.38,2.92,1,0
44,34,37.71,13.74,10.25,3.78,0,0
98,21,10.98,14.97,11.02,0,2,0
64,37,26.28,7.09,7.47,3.59,1,0
141,0,44.23,15.23,6.08,1.94,3,0
81,33,27.47,10.46,11.76,3.29,1,0
162,0,37.5,13.19,8.4,2.84,1,0
83,41,26.5,13.8,5.74,3.54,3,0
100,0,18.19,8.98,10.94,3.46,4,1
59,0,31.03,17.4,10.35,3.05,4,0
179,38,37.42,19.92,10.68,2.73,4,0
79,0,25.87,15.06,4.34,1.43,1,0
117,0,30.86,17.43,9.18,3.97,2,0
64,0,40.15,18.58,8.73,3.56,2,1
31,0,28.24,6.74,9.62,3.43,1,0
124,0,41.58,16.05,9.27,3.05,1,0
122,23,22.81,19.32,5.51,2.3,2,0
37,39,25.45,17.94,5.14,2.48,1,0
90,29,25.52,22.5,8.03,1.57,1,0
159,0,43.71,26.54,8.24,2.38,1,1
148,0,21.15,15.27,11.39,3.05,0,0
39,36,24.09,19.75,9.99,3.24,1,0
77,0,39.1,8.77,13.93,3.05,2,0
194,0,27.59,18.16,8.64,2.94,0,0
154,0,59.64,18.4,11.43,2.73,1,1
112,0,32.86,22.45,5.79,2.46,4,0
45,0,13.29,21.54,11.48,4.86,1,0
132,0,14.18,19.74,6.6,2.05,1,0
128,0,33.25,22.76,7.42,4.32,0,0
135,0,34.31,19.13,9.2,2.78,1,0
56,0,33.49,18.94,10.14,2.86,2,0
151,0,37.06,9.72,12.11,3.35,0,1
32,0,28.02,19.54,7.53,4,2,0
90,0,30.46,17.91,12.46,2.48,2,0
87,21,36.38,15.3,6.05,2.86,0,0
138,0,28.99,10.05,8.46,3.02,2,0
79,0,34.97,18.23,10.17,1.81,1,0
95,0,28.14,24.33,8.95,3.11,1,1
127,0,37.57,13.66,10.49,1.84,2,0
137,0,41.16,16.24,9.84,3.97,3,0
97,0,25.77,13.21,10.8,3.97,1,0
149,0,29.95,12.33,11.23,1.54,0,0
117,22,33.32,27.43,10.15,1,1,0
84,0,27.12,21,8.46,1.94,2,0
137,0,39.13,18.73,9.21,2.89,4,0
99,0,24.94,23.29,14.46,2.4,3,0
54,0,35.79,17.38,5.75,2.3,1,0
85,0,17.34,22.97,6.67,2.89,1,0
150,0,21.42,20.27,12.83,2.75,3,0
43,0,28.63,20.72,9.66,3,1,0
35,0,17.95,21.95,9.59,2.35,0,0
98,0,35.11,14.98,10.48,3.35,5,0
112,0,36.91,17.44,8.36,2.54,2,0
16,0,39.03,17.48,7.48,2.92,0,1
98,22,47.31,7.94,4.84,2.62,0,0
84,0,23.56,16.92,9.18,2.11,0,0
94,0,39.85,23.74,10.54,0.54,1,1
84,0,30.86,11.11,8.39,2.3,1,0
66,0,28.44,19.55,8.63,2.86,1,1
98,31,20.57,18.61,10.2,3.24,1,0
74,0,37.59,9.42,10.8,2.86,0,0
96,26,24.79,16.34,7.43,2.67,1,0
119,0,37.88,13.87,7.23,3.02,1,0
73,0,31.18,20.57,9.06,2.03,4,0
92,0,44.93,13.68,8.94,2.51,0,0
21,0,24.82,9.32,11.13,1.84,0,0
122,0,26.71,15.72,8.87,2.3,4,1
133,0,21.64,21.36,6.08,2.78,1,0
145,0,31.94,16.75,7.52,1.3,2,0
25,0,30.4,12,9.14,2.27,2,0
64,0,16.52,15.83,8.5,2.81,2,0
85,0,44.17,20.6,7.6,1.46,0,0
126,0,43.61,16.96,8.47,1.89,3,0
76,0,28.82,10.54,9.87,2.7,0,0
113,0,40.75,24.05,10.73,2.35,2,1
224,0,29.16,13.6,9.56,1.35,1,1
117,0,40.78,14.86,9.43,2.65,0,0
128,34,24.19,16.56,10.77,4.32,1,0
115,0,31.3,27.8,9.56,2.03,2,0
141,28,35.17,22.47,7.73,2.51,2,0
51,0,44.18,14.98,3.47,4.13,1,0
100,0,34.65,24.06,8.88,3.38,0,0
96,45,42.3,11.93,11.86,2.78,3,0
112,16,37.67,11.07,9,3.05,1,0
129,0,32.79,15.77,9.23,2.94,1,0
163,0,20.81,9.64,8.11,3.38,1,0
67,40,17.83,18.39,9.78,2.59,1,0
140,0,29.44,16.73,9.42,3.02,3,0
49,0,20.3,23.23,9.65,3.35,2,0
46,0,42.55,22.15,8.78,3.59,2,1
148,0,30.31,24.02,8.15,3.08,1,0
112,0,41.38,15.48,11.66,3.46,1,0
78,0,26.35,14.9,7,3.19,2,0
61,31,49.08,17.32,9.14,2.32,0,0
58,29,40.87,10.11,7.39,3.02,1,0
155,0,32.35,25.61,9.66,2.16,1,0
100,0,47.26,15.02,9.88,2.24,0,1
113,0,26.35,28.1,8.52,3.65,1,0
81,0,26.1,16.8,8.93,1.7,2,0
135,27,46.48,13.09,11.06,3.32,1,0
99,0,26.4,22.58,6.56,3.35,0,0
59,29,22.63,18.8,5.92,1.84,1,0
135,0,41.96,15.96,6.95,3.4,1,0
85,0,28.12,16.66,15.71,2.59,2,0
70,0,10.12,21.86,9.37,3,0,0
88,0,23.51,20.06,8.06,2.59,3,0
55,0,48.74,11.42,8.68,1.86,2,0
75,0,19.94,17.09,4.86,3.29,1,0
79,21,44.93,17.24,7.8,1.7,4,0
85,0,21.74,23.05,9.1,3.38,0,0
86,23,38.34,20.94,11.06,2.65,0,0
91,0,25.33,20.85,11.7,2.24,0,0
149,20,33.81,23.29,8.58,3.86,1,0
97,0,43.59,23.28,10.02,3,1,1
88,0,45.02,20.86,7.22,4,1,1
60,0,16.69,15.34,10.06,2.51,2,0
54,0,27.17,22.44,5.21,2.62,2,0
11,28,32.4,18.71,8.11,1.62,3,0
109,0,31.28,10.23,6.92,2.97,0,0
90,0,44.51,18.75,6.15,2.59,1,0
115,0,25.14,19.41,13.49,2.59,3,0
144,18,18.09,9.19,9.38,2.73,1,0
91,0,22.73,16.6,12.62,1.59,0,0
105,23,32.9,18.72,12.26,2.3,0,0
71,0,30.29,14.26,8.19,3.67,3,1
132,36,38.45,15.44,11.65,2.84,3,1
112,0,28.97,17.02,11.62,3.13,1,0
86,32,12.05,14.17,11.02,3,3,0
41,34,33.05,21.67,7.21,4.64,2,0
44,0,40.85,13.99,10.83,2.86,1,0
78,0,12.75,21.14,7.92,2.57,3,0
149,0,11.75,11.59,8.18,1.7,1,0
72,33,16.42,26.81,7.35,1.67,4,1
139,20,36.48,19.98,7.33,4,0,0
74,0,25.25,12.45,13.01,2.67,3,0
50,0,43.88,13.72,10.13,3.16,1,0
141,23,25.45,13.81,9.91,2.05,3,0
140,0,25.47,13.97,13.26,2.19,1,0
99,0,32.37,13.44,12.22,3.02,2,0
166,0,30.84,21.57,5.05,3.13,1,0
124,0,25.69,15.93,11.49,1.43,1,0
74,0,26.47,14.76,11.58,2.19,0,0
117,0,25.48,21.77,9.57,3.59,2,0
85,0,37.79,19.68,10.06,2.97,3,0
36,16,25.4,11.2,5.97,1.81,0,0
102,0,39.75,18.84,6.61,3.46,0,0
76,0,34.71,24.87,10.99,2.84,0,0
165,0,41.29,17.83,10.28,0,1,0
130,0,25.57,19.59,8.38,3.32,1,0
78,0,35.51,21.45,12.61,3.46,0,0
55,0,32.62,21.77,9.17,3.86,1,1
92,0,22.22,22.15,10.99,2.54,2,1
129,33,20.33,23.69,11.85,1.59,2,0
18,0,46.51,9.74,11.28,2.21,1,0
161,0,26.54,15.33,8.08,3,2,0
93,36,30.38,15.18,5.71,2.16,2,0
144,0,30.18,24.43,8.12,3.21,2,0
75,0,35.92,8.98,7.92,2.62,4,1
95,0,29.78,20.77,3.41,2.03,1,0
126,23,19.43,16.18,10.82,3.4,3,0
124,28,42.74,19.13,11.34,2.03,1,0
93,0,36.87,17.63,9.98,4.73,1,1
109,26,36.92,12.37,12.63,2.51,0,0
80,0,35.07,13.17,11.86,3.35,0,0
41,0,27.08,10.7,11.79,3,1,0
136,31,24.33,20.11,10.25,3.08,2,0
92,0,26.18,28.03,12.96,1.51,3,1
143,24,31.72,18.87,10.57,3.13,1,0
118,26,29.04,16.96,7.64,2.59,5,1
193,17,21.08,17.25,9.23,3.32,1,0
73,0,33.71,23.74,6.58,4,3,0
62,0,29.38,17.41,10.84,2.46,2,0
30,30,36.96,18.17,10.22,1.78,0,0
60,29,45.2,18.34,4.86,3.78,0,1
148,14,15.91,16.47,6.52,4.73,1,0
96,0,16.69,26.11,8.21,2.05,2,0
52,0,36.5,13.48,5.55,2.54,2,0
87,0,28.59,19.1,7.63,3.48,1,0
41,0,34.49,13.07,5.11,2.43,3,0
112,0,44.44,13.13,5.89,3.13,1,0
88,0,12.46,13.72,10.78,2.21,4,1
122,27,43.13,19.48,8.57,2.48,7,0
61,0,7.65,12.86,6.88,2.65,2,0
87,0,39.32,14.59,3.05,3.51,1,0
176,0,8.06,14.26,7.34,2.84,2,0
30,0,38.66,15.51,8.63,3.38,0,0
95,22,6.95,11.34,11.89,3.21,0,0
46,0,21.22,13.37,8.97,2.32,2,0
100,0,11.65,28.65,9.23,3.27,0,0
47,37,27.8,17.26,10.44,2.11,2,0
77,0,27.71,18.62,10.5,1.81,2,0
98,38,36.33,21.51,9.35,2.89,2,0
125,36,34.22,3.59,5.66,1.46,1,0
67,0,52.77,5.65,11.09,2.48,4,0
194,0,8.23,23.89,9.83,4.91,1,0
128,40,29.1,12.38,8.86,3.78,1,0
190,22,28.31,15.56,5.44,2.3,0,0
165,0,36.82,16.22,10.11,3.35,0,0
59,0,18.33,18.41,9.79,2.67,2,0
47,28,24.02,14.28,5.11,2.11,1,0
150,29,35.68,13.43,6.39,1.78,0,0
152,20,40.38,21.54,11.93,3.83,9,1
26,0,39.87,18.4,8.62,0.95,3,0
79,31,17.53,20.66,3.44,3.29,3,0
95,27,22.02,21.16,12.06,3.21,1,0
69,0,47.57,21.14,7.69,2.27,2,1
95,41,23.26,17.07,6.02,2.78,5,1
31,31,17.02,20.94,11.48,1.59,0,0
121,31,40.31,17.48,8.85,2.73,4,0
111,0,29.38,15.56,7.15,2.13,4,1
157,0,38.17,17.06,5.25,3.11,2,0
44,0,48.98,21.93,8.66,2.75,3,1
61,0,13.29,16.65,4.86,2.73,2,0
65,0,25.28,22.02,6.73,3.43,2,0
74,25,33.08,10.19,7.9,3.54,2,0
123,0,27.12,25.82,10.21,3.24,0,0
58,20,33.07,18.16,10.65,2.57,1,0
74,0,29.6,21.34,11.59,2.24,2,1
125,0,22.41,11.62,13.87,2.08,2,0
80,0,27.3,20.15,11.03,2.89,1,0
53,18,24.96,26.35,8.04,1.94,0,0
99,28,34.12,22.46,7.77,2.46,1,0
99,0,24.75,8.36,10.39,2.94,1,0
66,29,39,21.88,10.42,2.16,2,0
97,0,35.87,16.07,5.54,1.27,3,0
75,37,20.66,23.07,11.19,3.05,2,0
85,0,36.72,16,6.62,0.97,2,0
108,0,49.81,13.65,6.48,2.7,2,0
133,32,37.59,22.52,7.6,4.16,2,1
51,0,30.86,16.74,8.42,2.78,1,0
186,26,12.63,15.07,13.33,3.92,2,0
44,0,10.59,23.38,6.24,2.92,1,0
64,31,38.86,21.12,7.52,2.43,3,0
44,0,38.78,23.5,12.59,2.67,2,1
114,36,52.68,17.03,8.26,3.83,1,0
92,0,34.32,19.28,9.79,3.7,3,0
110,0,25.47,15.3,6.3,3.16,2,0
90,30,31.25,19.52,6.48,2.08,1,0
72,21,31.74,28.48,8.42,4.46,1,0
113,0,35.6,29.52,11.07,2,1,1
171,25,37.94,15.57,6.79,2.75,3,0
